1000,566337
2000,1057877
3000,1527252
4000,2223671
5000,2461320
6000,2758401
7000,3161485
8000,3591104
9000,4018888
10000,4401155
11000,4809517
12000,5221875
13000,5652930
14000,6060537
15000,6507512
16000,6759728
17000,7136621
18000,7453149
19000,7861274
20000,8261293
